Mutant ID,Munatnt Operator,Reference,Explanation,BugID,Bug identification,Patch
Constant Replacement (CR),CR[],PIT and Major,"The patch modifies a literal constant such as a number, boolean, null/undefined, or similar value. Therefore, it corresponds to Constant Replacement.",bid50,Eslint,"diff --git a/lib/rules/no-multiple-empty-lines.js b/lib/rules/no-multiple-empty-lines.js
index c7f69784..679c4f69 100644
--- a/lib/rules/no-multiple-empty-lines.js
+++ b/lib/rules/no-multiple-empty-lines.js
@@ -165,7 +165,7 @@ module.exports = {
                     } else {
                         const location = {
                             line: lastLocation + 1,
-                            column: 1
+                            column: 0
                         };
 
                         if (lastLocation < firstOfEndingBlankLines) {
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 5 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid51,Eslint,"diff --git a/lib/rules/max-len.js b/lib/rules/max-len.js
index faff093d..b3798357 100644
--- a/lib/rules/max-len.js
+++ b/lib/rules/max-len.js
@@ -157,10 +157,11 @@ module.exports = {
          */
         function isFullLineComment(line, lineNumber, comment) {
             var start = comment.loc.start,
-                end = comment.loc.end;
+                end = comment.loc.end,
+                isFirstTokenOnLine = !line.slice(0, comment.loc.start.column).trim();
 
             return comment &&
-                (start.line < lineNumber || (start.line === lineNumber && start.column === 0)) &&
+                (start.line < lineNumber || (start.line === lineNumber && isFirstTokenOnLine)) &&
                 (end.line > lineNumber || end.column === line.length);
         }
 
"
Modification of Return Value (MRV),MRV[],PIT and Major,"Multi-line edits and complex structural changes. The patch has 10 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid52,Eslint,"diff --git a/lib/rules/object-shorthand.js b/lib/rules/object-shorthand.js
index 1d32d172..1d3d9dae 100644
--- a/lib/rules/object-shorthand.js
+++ b/lib/rules/object-shorthand.js
@@ -230,7 +230,10 @@ module.exports = {
                 const functionToken = sourceCode.getTokens(node.value).find(token => token.type === ""Keyword"" && token.value === ""function"");
                 const tokenBeforeParams = node.value.generator ? sourceCode.getTokenAfter(functionToken) : functionToken;
 
-                return fixer.replaceTextRange([firstKeyToken.range[0], tokenBeforeParams.range[1]], keyPrefix + keyText);
+                return fixer.replaceTextRange(
+                    [firstKeyToken.range[0], node.range[1]],
+                    keyPrefix + keyText + sourceCode.text.slice(tokenBeforeParams.range[1], node.value.range[1])
+                );
             }
             const arrowToken = sourceCode.getTokens(node.value).find(token => token.value === ""=>"");
             const tokenBeforeArrow = sourceCode.getTokenBefore(arrowToken);
@@ -238,7 +241,10 @@ module.exports = {
             const oldParamText = sourceCode.text.slice(sourceCode.getFirstToken(node.value, node.value.async ? 1 : 0).range[0], tokenBeforeArrow.range[1]);
             const newParamText = hasParensAroundParameters ? oldParamText : `(${oldParamText})`;
 
-            return fixer.replaceTextRange([firstKeyToken.range[0], arrowToken.range[1]], keyPrefix + keyText + newParamText);
+            return fixer.replaceTextRange(
+                [firstKeyToken.range[0], node.range[1]],
+                keyPrefix + keyText + newParamText + sourceCode.text.slice(arrowToken.range[1], node.value.range[1])
+            );
 
         }
 
"
Reference Assignment Replacement (RAR),RAR[],PIT and Major,Assignment reference changed,bid53,Eslint,"diff --git a/lib/rules/operator-assignment.js b/lib/rules/operator-assignment.js
index 43f21abc..1c40eed1 100644
--- a/lib/rules/operator-assignment.js
+++ b/lib/rules/operator-assignment.js
@@ -135,7 +135,7 @@ module.exports = {
                                 const equalsToken = getOperatorToken(node);
                                 const operatorToken = getOperatorToken(expr);
                                 const leftText = sourceCode.getText().slice(node.range[0], equalsToken.range[0]);
-                                const rightText = sourceCode.getText().slice(operatorToken.range[1], expr.right.range[1]);
+                                const rightText = sourceCode.getText().slice(operatorToken.range[1], node.right.range[1]);
 
                                 return fixer.replaceText(node, `${leftText}${expr.operator}=${rightText}`);
                             }
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 29 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid54,Eslint,"diff --git a/lib/rules/no-unsafe-finally.js b/lib/rules/no-unsafe-finally.js
index 55ea2971f..c868f8579 100644
--- a/lib/rules/no-unsafe-finally.js
+++ b/lib/rules/no-unsafe-finally.js
@@ -9,7 +9,10 @@
 // Helpers
 //------------------------------------------------------------------------------
 
-var SENTINEL_NODE_TYPE = /^(?:Program|(?:Function|Class)(?:Declaration|Expression)|ArrowFunctionExpression)$/;
+var SENTINEL_NODE_TYPE_RETURN_THROW = /^(?:Program|(?:Function|Class)(?:Declaration|Expression)|ArrowFunctionExpression)$/;
+var SENTINEL_NODE_TYPE_BREAK = /^(?:Program|(?:Function|Class)(?:Declaration|Expression)|ArrowFunctionExpression|DoWhileStatement|WhileStatement|ForOfStatement|ForInStatement|ForStatement|SwitchStatement)$/;
+var SENTINEL_NODE_TYPE_CONTINUE = /^(?:Program|(?:Function|Class)(?:Declaration|Expression)|ArrowFunctionExpression|DoWhileStatement|WhileStatement|ForOfStatement|ForInStatement|ForStatement)$/;
+
 
 //------------------------------------------------------------------------------
 // Rule Definition
@@ -39,11 +42,29 @@ module.exports = {
          * Climbs up the tree if the node is not a sentinel node
          *
          * @param {ASTNode} node - node to check.
+         * @param {String} label - label of the break or continue statement
          * @returns {Boolean} - return whether the node is a finally block or a sentinel node
          */
-        function isInFinallyBlock(node) {
-            while (node && !SENTINEL_NODE_TYPE.test(node.type)) {
+        function isInFinallyBlock(node, label) {
+            var labelInside = false;
+            var sentinelNodeType;
+
+            if (node.type === ""BreakStatement"" && !node.label) {
+                sentinelNodeType = SENTINEL_NODE_TYPE_BREAK;
+            } else if (node.type === ""ContinueStatement"") {
+                sentinelNodeType = SENTINEL_NODE_TYPE_CONTINUE;
+            } else {
+                sentinelNodeType = SENTINEL_NODE_TYPE_RETURN_THROW;
+            }
+
+            while (node && !sentinelNodeType.test(node.type)) {
+                if (node.parent.label && label && (node.parent.label.name === label.name)) {
+                    labelInside = true;
+                }
                 if (isFinallyBlock(node)) {
+                    if (label && labelInside) {
+                        return false;
+                    }
                     return true;
                 }
                 node = node.parent;
@@ -58,7 +79,7 @@ module.exports = {
          * @returns {void}
          */
         function check(node) {
-            if (isInFinallyBlock(node)) {
+            if (isInFinallyBlock(node, node.label)) {
                 context.report({
                     message: ""Unsafe usage of "" + node.type,
                     node: node,
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 38 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid55,Eslint,"diff --git a/lib/rules/func-style.js b/lib/rules/func-style.js
index c9d64b6d0..ad7f41e13 100644
--- a/lib/rules/func-style.js
+++ b/lib/rules/func-style.js
@@ -12,32 +12,52 @@
 module.exports = function(context) {
 
     var style = context.options[0],
-        enforceDeclarations = (style === ""declaration"");
+        enforceDeclarations = (style === ""declaration""),
+        stack = [];
 
     return {
+        ""Program"": function() {
+            stack = [];
+        },
 
         ""FunctionDeclaration"": function(node) {
+            stack.push(false);
+
             if (!enforceDeclarations) {
                 context.report(node, ""Expected a function expression."");
             }
         },
+        ""FunctionDeclaration:exit"": function() {
+            stack.pop();
+        },
 
-        ""FunctionExpression"": function() {
-            var parent = context.getAncestors().pop();
+        ""FunctionExpression"": function(node) {
+            stack.push(false);
 
-            if (enforceDeclarations && parent.type === ""VariableDeclarator"") {
-                context.report(parent, ""Expected a function declaration."");
+            if (enforceDeclarations && node.parent.type === ""VariableDeclarator"") {
+                context.report(node.parent, ""Expected a function declaration."");
             }
         },
+        ""FunctionExpression:exit"": function() {
+            stack.pop();
+        },
 
         ""ArrowFunctionExpression"": function() {
-            var parent = context.getAncestors().pop();
+            stack.push(false);
+        },
+        ""ArrowFunctionExpression:exit"": function(node) {
+            var hasThisExpr = stack.pop();
 
-            if (enforceDeclarations && parent.type === ""VariableDeclarator"") {
-                context.report(parent, ""Expected a function declaration."");
+            if (enforceDeclarations && !hasThisExpr && node.parent.type === ""VariableDeclarator"") {
+                context.report(node.parent, ""Expected a function declaration."");
             }
-        }
+        },
 
+        ""ThisExpression"": function() {
+            if (stack.length > 0) {
+                stack[stack.length - 1] = true;
+            }
+        }
     };
 
 };
"
"Method call replacement, Modification of condition stement","MCR[],MOCS[]",PIT and Major,"Multi-line edits and complex structural changes. The patch has 5 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid56,Eslint,"diff --git a/lib/rules/multiline-comment-style.js b/lib/rules/multiline-comment-style.js
index 302a7d85..db4f7684 100644
--- a/lib/rules/multiline-comment-style.js
+++ b/lib/rules/multiline-comment-style.js
@@ -271,10 +271,13 @@ module.exports = {
                         return !tokenBefore || tokenBefore.loc.end.line < comment.loc.start.line;
                     })
                     .reduce((commentGroups, comment, index, commentList) => {
+                        const tokenBefore = sourceCode.getTokenBefore(comment, { includeComments: true });
+
                         if (
                             comment.type === ""Line"" &&
                             index && commentList[index - 1].type === ""Line"" &&
-                            sourceCode.getTokenBefore(comment, { includeComments: true }) === commentList[index - 1]
+                            tokenBefore && tokenBefore.loc.end.line === comment.loc.start.line - 1 &&
+                            tokenBefore === commentList[index - 1]
                         ) {
                             commentGroups[commentGroups.length - 1].push(comment);
                         } else {
"
Statement Deletion (SD),SD[],PIT and Major,"Multi-line edits and complex structural changes. The patch has 6 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid57,Eslint,"diff --git a/lib/config/plugins.js b/lib/config/plugins.js
index e28a7792..aebb3669 100644
--- a/lib/config/plugins.js
+++ b/lib/config/plugins.js
@@ -75,12 +75,6 @@ module.exports = {
         plugins[shortName] = plugin;
         Environments.importPlugin(plugin, shortName);
         Rules.importPlugin(plugin, shortName);
-
-        // load up environments and rules for the name that '@scope/' was omitted
-        // 3 lines below will be removed by 4.0.0
-        plugins[pluginNameWithoutPrefix] = plugin;
-        Environments.importPlugin(plugin, pluginNameWithoutPrefix);
-        Rules.importPlugin(plugin, pluginNameWithoutPrefix);
     },
 
     /**
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 15 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid58,Eslint,"diff --git a/lib/rules/consistent-return.js b/lib/rules/consistent-return.js
index 78485ba4..0c1a6a74 100644
--- a/lib/rules/consistent-return.js
+++ b/lib/rules/consistent-return.js
@@ -33,6 +33,18 @@ function isUnreachable(segment) {
     return !segment.reachable;
 }
 
+/**
+* Checks whether a given node is a `constructor` method in an ES6 class
+* @param {ASTNode} node A node to check
+* @returns {boolean} `true` if the node is a `constructor` method
+*/
+function isClassConstructor(node) {
+    return node.type === ""FunctionExpression"" &&
+        node.parent &&
+        node.parent.type === ""MethodDefinition"" &&
+        node.parent.kind === ""constructor"";
+}
+
 //------------------------------------------------------------------------------
 // Rule Definition
 //------------------------------------------------------------------------------
@@ -77,7 +89,8 @@ module.exports = {
              */
             if (!funcInfo.hasReturnValue ||
                 funcInfo.codePath.currentSegments.every(isUnreachable) ||
-                astUtils.isES5Constructor(node)
+                astUtils.isES5Constructor(node) ||
+                isClassConstructor(node)
             ) {
                 return;
             }
"
"Condition insertion, Method call replacement","CI[],MCR[]",PIT and Major,"Multi-line edits and complex structural changes. The patch has 11 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid59,Eslint,"diff --git a/lib/eslint.js b/lib/eslint.js
index 3c23a749..a9066c4c 100755
--- a/lib/eslint.js
+++ b/lib/eslint.js
@@ -778,17 +778,18 @@ module.exports = (function() {
         // search and apply ""eslint-env *"".
         const envInFile = findEslintEnv(text || textOrSourceCode.text);
 
+        config = Object.assign({}, config);
+
         if (envInFile) {
-            if (!config || !config.env) {
-                config = Object.assign({}, config || {}, { env: envInFile });
-            } else {
-                config = Object.assign({}, config);
+            if (config.env) {
                 config.env = Object.assign({}, config.env, envInFile);
+            } else {
+                config.env = envInFile;
             }
         }
 
         // process initial config to make it safe to extend
-        config = prepareConfig(config || {});
+        config = prepareConfig(config);
 
         // only do this for text
         if (text !== null) {
"
"Condition Insertion (CI), Modification of return Value(MRV)","CI[],MRV[]",PIT and Major,"The patch inserts a condition or conditional guard. Therefore, it corresponds to Condition Insertion.",bid60,Eslint,"diff --git a/lib/rules/one-var.js b/lib/rules/one-var.js
index 805cec36..2bd49f51 100644
--- a/lib/rules/one-var.js
+++ b/lib/rules/one-var.js
@@ -286,6 +286,9 @@ module.exports = {
                             context.report(node, ""Combine this with the previous '"" + type + ""' statement with initialized variables."");
                         }
                         if (options[type].uninitialized === MODE_ALWAYS) {
+                            if (node.parent.left === node && (node.parent.type === ""ForInStatement"" || node.parent.type === ""ForOfStatement"")) {
+                                return;
+                            }
                             context.report(node, ""Combine this with the previous '"" + type + ""' statement with uninitialized variables."");
                         }
                     }
"
Condition Negation (CN),CN[],PIT and Major,"The patch negates or removes negation from a condition. Therefore, it corresponds to Condition Negation.",bid61,Eslint,"diff --git a/lib/rules/indent.js b/lib/rules/indent.js
index ec3f7917..0d4c7188 100644
--- a/lib/rules/indent.js
+++ b/lib/rules/indent.js
@@ -1229,7 +1229,7 @@ module.exports = {
             },
 
             Property(node) {
-                if (!node.computed && !node.shorthand && !node.method && node.kind === ""init"") {
+                if (!node.shorthand && !node.method && node.kind === ""init"") {
                     const colon = sourceCode.getFirstTokenBetween(node.key, node.value, astUtils.isColonToken);
 
                     offsets.ignoreToken(sourceCode.getTokenAfter(colon));
"
"Variable assignment(VA), Satatement Insertion(SI), Condition insertion","VA[],SI[],CI[]",PIT and Major,"Multi-line edits and complex structural changes. The patch has 9 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid62,Eslint,"diff --git a/lib/rules/consistent-this.js b/lib/rules/consistent-this.js
index e940d0f0..bcf7fefb 100644
--- a/lib/rules/consistent-this.js
+++ b/lib/rules/consistent-this.js
@@ -2,6 +2,7 @@
  * @fileoverview Rule to enforce consistent naming of ""this"" context variables
  * @author Raphael Pigulla
  * @copyright 2015 Timothy Jones. All rights reserved.
+ * @copyright 2015 David Aurelio. All rights reserved.
  */
 ""use strict"";
 
@@ -93,8 +94,12 @@ module.exports = function(context) {
         ""FunctionDeclaration:exit"": ensureWasAssigned,
 
         ""VariableDeclarator"": function (node) {
-            if (node.init !== null) {
-                checkAssignment(node, node.id.name, node.init);
+            var id = node.id;
+            var isDestructuring =
+                id.type === ""ArrayPattern"" || id.type === ""ObjectPattern"";
+
+            if (node.init !== null && !isDestructuring) {
+                checkAssignment(node, id.name, node.init);
             }
         },
 
"
Method Parameter Modification (MPM),MPM[],PIT and Major,"The patch modifies the argument list of an existing method/function call. Therefore, it corresponds to Method Parameter Modification.",bid63,Eslint,"diff --git a/lib/rules/indent.js b/lib/rules/indent.js
index bf238dd1..2b069011 100644
--- a/lib/rules/indent.js
+++ b/lib/rules/indent.js
@@ -939,7 +939,7 @@ module.exports = {
                 if (options.FunctionDeclaration.parameters === ""first"" && node.params.length) {
                     checkNodesIndent(node.params.slice(1), node.params[0].loc.start.column);
                 } else if (options.FunctionDeclaration.parameters !== null) {
-                    checkNodesIndent(node.params, indentSize * options.FunctionDeclaration.parameters);
+                    checkNodesIndent(node.params, getNodeIndent(node).goodChar + indentSize * options.FunctionDeclaration.parameters);
                 }
             },
 
@@ -950,7 +950,7 @@ module.exports = {
                 if (options.FunctionExpression.parameters === ""first"" && node.params.length) {
                     checkNodesIndent(node.params.slice(1), node.params[0].loc.start.column);
                 } else if (options.FunctionExpression.parameters !== null) {
-                    checkNodesIndent(node.params, indentSize * options.FunctionExpression.parameters);
+                    checkNodesIndent(node.params, getNodeIndent(node).goodChar + indentSize * options.FunctionExpression.parameters);
                 }
             }
         };
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 21 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid64,Eslint,"diff --git a/lib/rules/operator-assignment.js b/lib/rules/operator-assignment.js
index 1c40eed1..99cca356 100644
--- a/lib/rules/operator-assignment.js
+++ b/lib/rules/operator-assignment.js
@@ -4,6 +4,12 @@
  */
 ""use strict"";
 
+//------------------------------------------------------------------------------
+// Requirements
+//------------------------------------------------------------------------------
+
+const astUtils = require(""../ast-utils"");
+
 //------------------------------------------------------------------------------
 // Helpers
 //------------------------------------------------------------------------------
@@ -171,9 +177,20 @@ module.exports = {
                         if (canBeFixed(node.left)) {
                             const operatorToken = getOperatorToken(node);
                             const leftText = sourceCode.getText().slice(node.range[0], operatorToken.range[0]);
-                            const rightText = sourceCode.getText().slice(operatorToken.range[1], node.range[1]);
+                            const newOperator = node.operator.slice(0, -1);
+                            let rightText;
+
+                            // If this change would modify precedence (e.g. `foo *= bar + 1` => `foo = foo * (bar + 1)`), parenthesize the right side.
+                            if (
+                                astUtils.getPrecedence(node.right) <= astUtils.getPrecedence({ type: ""BinaryExpression"", operator: newOperator }) &&
+                                !astUtils.isParenthesised(sourceCode, node.right)
+                            ) {
+                                rightText = `${sourceCode.text.slice(operatorToken.range[1], node.right.range[0])}(${sourceCode.getText(node.right)})`;
+                            } else {
+                                rightText = sourceCode.text.slice(operatorToken.range[1], node.range[1]);
+                            }
 
-                            return fixer.replaceText(node, `${leftText}= ${leftText}${node.operator.slice(0, -1)}${rightText}`);
+                            return fixer.replaceText(node, `${leftText}= ${leftText}${newOperator}${rightText}`);
                         }
                         return null;
                     }
"
Method call replacement(MCR),MCR[],PIT and Major,"Multi-line edits and complex structural changes. The patch has 7 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid65,Eslint,"diff --git a/lib/linter.js b/lib/linter.js
index a49453e0..bb17ac21 100755
--- a/lib/linter.js
+++ b/lib/linter.js
@@ -519,8 +519,11 @@ function createStubRule(message) {
      */
     function createRuleModule(context) {
         return {
-            Program(node) {
-                context.report(node, message);
+            Program() {
+                context.report({
+                    loc: { line: 1, column: 0 },
+                    message
+                });
             }
         };
     }
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 27 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid66,Eslint,"diff --git a/lib/rules/indent.js b/lib/rules/indent.js
index db9b574b..7d43a1f0 100644
--- a/lib/rules/indent.js
+++ b/lib/rules/indent.js
@@ -924,6 +924,23 @@ module.exports = {
             }
         }
 
+        /**
+         * Check whether the given token is the first token of a statement.
+         * @param {Token} token The token to check.
+         * @param {ASTNode} leafNode The expression node that the token belongs directly.
+         * @returns {boolean} `true` if the token is the first token of a statement.
+         */
+        function isFirstTokenOfStatement(token, leafNode) {
+            let node = leafNode;
+
+            while (node.parent && !node.parent.type.endsWith(""Statement"") && !node.parent.type.endsWith(""Declaration"")) {
+                node = node.parent;
+            }
+            node = node.parent;
+
+            return !node || node.range[0] === token.range[0];
+        }
+
         return {
             ArrayExpression: addArrayOrObjectIndent,
             ArrayPattern: addArrayOrObjectIndent,
@@ -967,7 +984,15 @@ module.exports = {
             ConditionalExpression(node) {
                 const tokens = getTokensAndComments(node);
 
-                if (!(node.parent.type === ""ConditionalExpression"" && options.flatTernaryExpressions)) {
+                // `flatTernaryExpressions` option is for the following style:
+                // var a =
+                //     foo > 0 ? bar :
+                //     foo < 0 ? baz :
+                //     /*else*/ qiz ;
+                if (!options.flatTernaryExpressions ||
+                    !astUtils.isTokenOnSameLine(node.test, node.consequent) ||
+                    isFirstTokenOfStatement(tokens[0], node)
+                ) {
                     offsets.setDesiredOffsets(tokens, tokens[0], 1);
                 }
             },
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 25 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid67,Eslint,"diff --git a/lib/rules/no-extra-parens.js b/lib/rules/no-extra-parens.js
index 0a6a0d0f..d0d79c6a 100644
--- a/lib/rules/no-extra-parens.js
+++ b/lib/rules/no-extra-parens.js
@@ -255,6 +255,23 @@ module.exports = {
                 !astUtils.canTokensBeAdjacent(tokenBeforeLeftParen, firstToken);
         }
 
+        /**
+         * Determines whether a node should be followed by an additional space when removing parens
+         * @param {ASTNode} node node to evaluate; must be surrounded by parentheses
+         * @returns {boolean} `true` if a space should be inserted after the node
+         * @private
+         */
+        function requiresTrailingSpace(node) {
+            const nextTwoTokens = sourceCode.getTokensAfter(node, { count: 2 });
+            const rightParenToken = nextTwoTokens[0];
+            const tokenAfterRightParen = nextTwoTokens[1];
+            const tokenBeforeRightParen = sourceCode.getLastToken(node);
+
+            return rightParenToken && tokenAfterRightParen &&
+                !sourceCode.isSpaceBetweenTokens(rightParenToken, tokenAfterRightParen) &&
+                !astUtils.canTokensBeAdjacent(tokenBeforeRightParen, tokenAfterRightParen);
+        }
+
         /**
          * Report the node
          * @param {ASTNode} node node to evaluate
@@ -279,7 +296,7 @@ module.exports = {
                     return fixer.replaceTextRange([
                         leftParenToken.range[0],
                         rightParenToken.range[1]
-                    ], (requiresLeadingSpace(node) ? "" "" : """") + parenthesizedSource);
+                    ], (requiresLeadingSpace(node) ? "" "" : """") + parenthesizedSource + (requiresTrailingSpace(node) ? "" "" : """"));
                 }
             });
         }
@@ -488,12 +505,18 @@ module.exports = {
                 if (hasExcessParens(node.right)) {
                     report(node.right);
                 }
+                if (hasExcessParens(node.left)) {
+                    report(node.left);
+                }
             },
 
             ForOfStatement(node) {
                 if (hasExcessParens(node.right)) {
                     report(node.right);
                 }
+                if (hasExcessParens(node.left)) {
+                    report(node.left);
+                }
             },
 
             ForStatement(node) {
"
Method Call Replacement (MCR),MCR[],PIT and Major,"The patch replaces or removes a method/function call. Therefore, it corresponds to Method Call Replacement / Removal.",bid68,Eslint,"diff --git a/lib/rules/no-extra-parens.js b/lib/rules/no-extra-parens.js
index efa3d53b..8c41c18d 100644
--- a/lib/rules/no-extra-parens.js
+++ b/lib/rules/no-extra-parens.js
@@ -509,7 +509,7 @@ module.exports = {
                         !(
                             (node.object.type === ""Literal"" &&
                             typeof node.object.value === ""number"" &&
-                            /^[0-9]+$/.test(sourceCode.getFirstToken(node.object).value))
+                            astUtils.isDecimalInteger(node.object))
                             ||
 
                             // RegExp literal is allowed to have parens (#1589)
"
Statement Insertion(SI),SI[],PIT and Major,"The patch is small, but no taxonomy operator was confidently detected. Manual checking is required.",bid69,Eslint,"diff --git a/lib/rules/no-sequences.js b/lib/rules/no-sequences.js
index bf5ba673..b0d318c7 100644
--- a/lib/rules/no-sequences.js
+++ b/lib/rules/no-sequences.js
@@ -31,7 +31,8 @@ module.exports = {
             IfStatement: ""test"",
             SwitchStatement: ""discriminant"",
             WhileStatement: ""test"",
-            WithStatement: ""object""
+            WithStatement: ""object"",
+            ArrowFunctionExpression: ""body""
 
             // Omitting CallExpression - commas are parsed as argument separators
             // Omitting NewExpression - commas are parsed as argument separators
"
"Variable Assignment (VA), Else Insertion(ElseI)","VA[],ElseI[]",PIT and Major,"variable assignment inserted, Else insertion",bid70,Eslint,"diff --git a/lib/rules/quote-props.js b/lib/rules/quote-props.js
index 13c24d81..29ce2370 100644
--- a/lib/rules/quote-props.js
+++ b/lib/rules/quote-props.js
@@ -141,6 +141,9 @@ module.exports = function(context) {
 
                     necessaryQuotes = necessaryQuotes || !areQuotesRedundant(tokens) || KEYWORDS && isKeyword(tokens[0].value);
                 }
+            } else if (KEYWORDS && checkQuotesRedundancy && key.type === ""Identifier"" && isKeyword(key.name)) {
+                necessaryQuotes = true;
+                context.report(node, ""Properties should be quoted as `{{property}}` is a reserved word."", {property: key.name});
             } else {
                 lackOfQuotes = true;
             }
"
no,no,no,"Multi-line edits and complex structural changes. The patch has 17 changed lines, so it is not considered repairable by simple mutation operators under the >4-line rule.",bid71,Eslint,"diff --git a/lib/rules/spaced-comment.js b/lib/rules/spaced-comment.js
index 1a8dd77c..a57cd869 100644
--- a/lib/rules/spaced-comment.js
+++ b/lib/rules/spaced-comment.js
@@ -18,6 +18,7 @@ module.exports = function(context) {
     // Default to match anything, so all will fail if there are no exceptions
     var exceptionMatcher = new RegExp("" "");
     var markerMatcher = new RegExp("" "");
+    var jsDocMatcher = new RegExp(""((^(\\*)))[ \\n]"");
 
     // Fetch the options dict
     var hasOptions = context.options.length === 2;
@@ -49,6 +50,17 @@ module.exports = function(context) {
         markerMatcher = new RegExp(""((^("" + markers.join(""))|(^("") + "")))[ \\t\\n]"");
     }
 
+    /**
+     * Check to see if the block comment is jsDoc comment
+     * @param {ASTNode} node comment node
+     * @returns {boolean} True if its jsdoc comment
+     * @private
+     */
+    function isJsdoc(node) {
+        // make sure comment type is block and it start with /**\n
+        return node.type === ""Block"" && jsDocMatcher.test(node.value);
+    }
+
 
     function checkCommentForSpace(node) {
         var commentIdentifier = node.type === ""Block"" ? ""/*"" : ""//"";
@@ -60,6 +72,11 @@ module.exports = function(context) {
                 return;
             }
 
+            // if comment is jsdoc style then ignore it
+            if (isJsdoc(node)) {
+                return;
+            }
+
             // Check for markers now, and short-circuit if found
             if (hasMarkers && markerMatcher.test(node.value)) {
                 return;
"
Arithmetic Operator Replacement (AOR),AOR[],PIT and Major,"The patch modifies an arithmetic operator. Therefore, it corresponds to Arithmetic Operator Replacement.",bid72,Eslint,"diff --git a/lib/rules/no-multi-spaces.js b/lib/rules/no-multi-spaces.js
index f39b578b..30d650c3 100644
--- a/lib/rules/no-multi-spaces.js
+++ b/lib/rules/no-multi-spaces.js
@@ -143,8 +143,7 @@ module.exports = {
 
                 const source = sourceCode.getText(),
                     allComments = sourceCode.getAllComments(),
-                    JOINED_LINEBEAKS = Array.from(astUtils.LINEBREAKS).join(""""),
-                    pattern = new RegExp(String.raw`[^ \t${JOINED_LINEBEAKS}].? {2,}`, ""g""); // note: repeating space
+                    pattern = /[^\s].*? {2,}/g;
                 let parent;
 
                 while (pattern.test(source)) {
"
Method Parameter Modification (MPM),MPM[],PIT and Major,"The patch modifies the argument list of an existing method/function call. Therefore, it corresponds to Method Parameter Modification.",bid73,Eslint,"diff --git a/lib/rules/padded-blocks.js b/lib/rules/padded-blocks.js
index 7c378d92..7ec24c65 100644
--- a/lib/rules/padded-blocks.js
+++ b/lib/rules/padded-blocks.js
@@ -190,7 +190,7 @@ module.exports = {
                         node: node,
                         loc: { line: openBrace.loc.start.line, column: openBrace.loc.start.column },
                         fix: function(fixer) {
-                            return fixer.replaceTextRange([openBrace.end, nextToken.start], ""\n"");
+                            return fixer.replaceTextRange([openBrace.end, nextToken.start - nextToken.loc.start.column], ""\n"");
                         },
                         message: NEVER_MESSAGE
                     });
@@ -204,7 +204,7 @@ module.exports = {
                         loc: {line: closeBrace.loc.end.line, column: closeBrace.loc.end.column - 1 },
                         message: NEVER_MESSAGE,
                         fix: function(fixer) {
-                            return fixer.replaceTextRange([previousToken.end, closeBrace.start], ""\n"");
+                            return fixer.replaceTextRange([previousToken.end, closeBrace.start - closeBrace.loc.start.column], ""\n"");
                         }
                     });
                 }
"
Logical Operator Replacement (LOR),LOR[],PIT and Major,"The patch modifies a logical operator such as && or ||. Therefore, it corresponds to Logical Operator Replacement.",bid74,Eslint,"diff --git a/lib/rules/semi-style.js b/lib/rules/semi-style.js
index fa258754..97fcc3ac 100644
--- a/lib/rules/semi-style.js
+++ b/lib/rules/semi-style.js
@@ -79,7 +79,7 @@ module.exports = {
                             : ""the beginning of the next line""
                     },
                     fix(fixer) {
-                        if (commentsExistBetween(prevToken, nextToken)) {
+                        if (prevToken && nextToken && commentsExistBetween(prevToken, nextToken)) {
                             return null;
                         }
 
"
