Mutant ID,Mutant Operator,Reference,Explanation,BugID,Bug identification,Patch
no,comments changes ,,,JacksonDatabind_10_run4,JacksonDatabind_10,"--- src/main/java/com/fasterxml/jackson/databind/ser/BeanSerializerFactory.java
+++ src/main/java/com/fasterxml/jackson/databind/ser/BeanSerializerFactory.java
@@ -706,6 +706,10 @@ public class BeanSerializerFactory extends BasicSerializerFactory
         // [JACKSON-704] need to consider 'any getter'...
         if (anyGetter != null) {
             if (props == null) {
+                // 13-Dec-2014, tatu: As per [databind#577], we need to check if
+                //   the any-getter value is to be handled as a property, not as
+                //   a regular Map. If it has a custom serializer, we should NOT
+                //   unwrap it.
                 props = new BeanPropertyWriter[0];
             }
             props = new BeanPropertyWriter[0];
"
Add important statement,AIS[],Major and Pit,adding importrant statement ,JacksonDatabind_20_run3,JacksonDatabind_20,"--- src/main/java/com/fasterxml/jackson/databind/ObjectMapper.java
+++ src/main/java/com/fasterxml/jackson/databind/ObjectMapper.java
@@ -123,6 +123,7 @@
 import com.fasterxml.jackson.databind.node.ArrayNode;
 import com.fasterxml.jackson.databind.node.JsonNodeFactory;
 import com.fasterxml.jackson.databind.node.NullNode;
+import com.fasterxml.jackson.databind.node.ObjectNode;
 import com.fasterxml.jackson.databind.node.TreeTraversingParser;
 import com.fasterxml.jackson.databind.ser.*;
 import com.fasterxml.jackson.databind.ser.impl.SimpleBeanPropertyFilter;
"
Modification of return value,MRV[],Major and Pit,modifcation of the return value,JacksonXml_1_run2,JacksonXml_1,"--- src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
+++ src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
@@ -307,7 +307,7 @@
             // For END_ELEMENT we will return text, if any
             if (text != null) {
                 _textValue = text;
-                return (_currentState = XML_TEXT);
+                return (_currentState = XML_END_ELEMENT);
             }
             return _handleEndElement();
         case XML_ATTRIBUTE_NAME:
"
Modification of return value,MRV[],Major and Pit,modification of the returen value ,JacksonXml_2_run1,JacksonXml_2,"--- src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
+++ src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
@@ -349,7 +349,7 @@
                 // text followed by END_ELEMENT
                 return _handleEndElement();
             case XML_END:
-                return XML_END;
+                return (_currentState = XML_END);
 //            throw new IllegalStateException(""No more XML tokens available (end of input)"");
         }
"
Modification of condition statement,MOCS[],Major and Pit,modifying the current condition in the condition statemnet,JacksonXml_3_run4,JacksonXml_3,"--- src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
+++ src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
@@ -282,7 +282,7 @@
     {
         // only applicable to cases where START_OBJECT was induced by attributes
-        if (_currentState != XML_ATTRIBUTE_NAME || _nextAttributeIndex != 0) {
+        if (_currentState != XML_ATTRIBUTE_NAME) {
             return null;
         }
         try {
"
"Modification of condition statrement, Rational operator replacement","MOCS[],ROR[]",Major and Pit,modifying the condition statement and with reational operator resplacement,Jsoup_1_run1,Jsoup_1,"--- src/main/java/org/jsoup/parser/Parser.java
+++ src/main/java/org/jsoup/parser/Parser.java
@@ -255,7 +255,7 @@
         Element parent = popStackToSuitableContainer(child.tag());
         Tag childTag = child.tag();
         boolean validAncestor = stackHasValidParent(childTag);
-        if (!validAncestor) {
+        if (!validAncestor && !stack.isEmpty()) {
             // create implicit parent around this child
             Tag parentTag = childTag.getImplicitParent();
             Element implicit = new Element(parentTag, baseUri);
"
Variable Replacement,VR[],Major and Pit,variable replacment,Jsoup_5_run4,Jsoup_5,"--- src/main/java/org/jsoup/parser/Parser.java
+++ src/main/java/org/jsoup/parser/Parser.java
@@ -237,7 +237,7 @@
             tq.consumeWhitespace();
 
             if (tq.matchChomp(SQ)) {
-                value = tq.chompTo(SQ);
+                value = tq.chompToIgnoreCase(SQ);
             } else if (tq.matchChomp(DQ)) {
                 value = tq.chompTo(DQ);
             } else {
"
Variable replacement,VR[],Major and Pit,variable replacment,Jsoup_10_run1,Jsoup_10,"--- src/main/java/org/jsoup/nodes/Node.java
+++ src/main/java/org/jsoup/nodes/Node.java
@@ -148,7 +148,7 @@
                 // workaround: java resolves '//path/file + ?foo' to '//path/?foo', not '//path/file?foo' as desired
-                URL abs = new URL(base, relUrl);
+                URL abs = new URL(base, relUrl.replace(""?"",""?""));
                 return abs.toExternalForm();
             } catch (MalformedURLException e) {
"
Data type replacement,DTR[],Major and Pit,data type replacement,Lang_1_run1,Lang_1,"--- src/main/java/org/apache/commons/lang3/math/NumberUtils.java
+++ src/main/java/org/apache/commons/lang3/math/NumberUtils.java
@@ -452,7 +452,7 @@
         String mant;
         String dec;
         String exp;
-        final int decPos = str.indexOf('.');
+        int decPos = str.indexOf('.');
         final int expPos = str.indexOf('e') + str.indexOf('E') + 1; // assumes both not present
         // if both e and E are present, this is caught by the checks on expPos (which prevent IOOBE)
         // and the parsing which will detect if e or E appear in a number due to using the wrong offset
"
Condition insertion,CI[],Major and Pit,condittion insertion ,Lang_5_run2,Lang_5,"--- src/main/java/org/apache/commons/lang3/LocaleUtils.java	(revision)
+++ src/main/java/org/apache/commons/lang3/LocaleUtils.java	(working copy)
@@ -99,7 +99,7 @@
             if (ch3 == '_') {
                 return new Locale(str.substring(0, 2), """", str.substring(4));
             }
-            final char ch4 = str.charAt(4);
+            final char ch4 = str.length() > 4 ? str.charAt(4) : 0;
             if (!Character.isUpperCase(ch3) || !Character.isUpperCase(ch4)) {
                 throw new IllegalArgumentException(""Invalid locale format: "" + str);
             }
"
Modification of condition statement,MOCS[],Major and Pit,modifying the condition with i +1 ,Lang_10_run1,Lang_10,"--- src/main/java/org/apache/commons/lang3/time/FastDateParser.java
+++ src/main/java/org/apache/commons/lang3/time/FastDateParser.java
@@ -306,7 +306,7 @@
         for(int i=0; i<strategies.length;) {
             Strategy strategy= strategies[i++];
-            strategy.setCalendar(this, cal, matcher.group(i));
+            strategy.setCalendar(this, cal, matcher.group(i+1));
         }
         pos.setIndex(offset+matcher.end());
         return cal.getTime();
"
Method call replacment,MCR[],Major and Pit,Method call replacement at two different places,Lang_15_run2,Lang_15,"--- src/main/java/org/apache/commons/lang3/reflect/TypeUtils.java
+++ src/main/java/org/apache/commons/lang3/reflect/TypeUtils.java
@@ -273,7 +273,7 @@
         // get the subject type's type arguments including owner type arguments
         // and supertype arguments up to and including the target class.
         Map<TypeVariable<?>, Type> fromTypeVarAssigns = getTypeArguments(type, toClass, null);
-
+        
         // null means the two types are not compatible
         if (fromTypeVarAssigns == null) {
             return false;
@@ -285,8 +285,8 @@
             return true;
         }
 
-        // get the target type's type arguments including owner type arguments
-        Map<TypeVariable<?>, Type> toTypeVarAssigns = getTypeArguments(toParameterizedType,
+        // get the target type's type arguments including owner type arguments
+        Map<TypeVariable<?>, Type> toTypeVarAssigns = getTypeArguments(toParameterizedType,
                 toClass, typeVarAssigns);
 
         // now to check each type argument
"
"Modification of condition statement, Rational operator replacement","MOCS[],ROR[]",Major and Pit,modifcation of the codtion and with retional operator replacement,Lang_20_run2,Lang_20,"--- src/main/java/org/apache/commons/lang3/StringUtils.java
+++ src/main/java/org/apache/commons/lang3/StringUtils.java
@@ -3316,7 +3316,7 @@
      * @since 3.0
      */
     public static String join(Object[] array, char separator, int startIndex, int endIndex) {
-        if (array == null) {
+        if (array == null || startIndex < 0) {
             return null;
         }
         int noOfItems = endIndex - startIndex;
"
no,"same edit at same place, no changes at all",,,Lang_30_run1,Lang_30,"--- src/main/java/org/apache/commons/lang3/StringUtils.java
+++ src/main/java/org/apache/commons/lang3/StringUtils.java
@@ -1420,7 +1420,7 @@ public class StringUtils {
         if (cs == null || searchChars == null) {
             return false;
         }
-        int csLength = cs.length();
+        int csLength = cs.length();
         int searchLength = searchChars.length;
         for (int i = 0; i < csLength; i++) {
             char ch = cs.charAt(i);
@@ -1431,7 +1431,7 @@ public class StringUtils {
             }
         }
         return false;
-    }
+    }
 
     // ContainsNone
     //-----------------------------------------------------------------------
"
"Condition insertion, Statement insertion","DCI[],SI[]",Major and Pit,condition insertion with the statement insertion ,Lang_35_run2,Lang_35,"--- src/main/java/org/apache/commons/lang3/ArrayUtils.java
+++ src/main/java/org/apache/commons/lang3/ArrayUtils.java
@@ -3279,6 +3279,9 @@
         if(array == null) {
             return null;
         }
+        if (array.getClass().getComponentType().isPrimitive()) {
+            throw new IllegalArgumentException(""Cannot add null to primitive array: "" + array.getClass());
+        }
         if (index < 0 || index > array.length) {
             throw new IndexOutOfBoundsException(""Index: "" + index + "", Length: "" + array.length);
         }
"
"Modification of condition statement, Rational operator replacement","MOCS[],ROR[]",Major and Pit,modification of condition statement in the condition and also adding a relational operators replacement,Lang_40_run1,Lang_40,"--- src/java/org/apache/commons/lang/StringUtils.java
+++ src/java/org/apache/commons/lang/StringUtils.java
@@ -927,7 +927,7 @@
      * @since 2.5
      */
     public static boolean containsIgnoreCase(String str, String searchStr) {
-        if (str == null || searchStr == null) {
+        if (str == null || searchStr == null || str.length() < searchStr.length()) {
             return false;
         }
         return contains(str.toUpperCase(), searchStr.toUpperCase());
"
"Method parameter modification, Varaible Replacement","MPM[],VR[]",Major and Pit,method parameter modification with the variable replacement inside paramenters,Lang_45_run2,Lang_45,"--- src/java/org/apache/commons/lang/WordUtils.java
+++ src/java/org/apache/commons/lang/WordUtils.java
@@ -155,7 +155,7 @@
                     offset += wrapLength;
                 } else {
                     // do not wrap really long word, just extend beyond limit
-                    spaceToWrapAt = str.indexOf(' ', wrapLength + offset);
+                    spaceToWrapAt = str.indexOf(' ', offset + wrapLength);
                     if (spaceToWrapAt >= 0) {
                         wrappedLine.append(str.substring(offset, spaceToWrapAt));
                         wrappedLine.append(newLineStr);
"
Condition insertion,CI[],Major and Pit,condition insertion in two different places in the patch,Math_1_run1,Math_1,"--- src/main/java/org/apache/commons/math3/fraction/Fraction.java
+++ src/main/java/org/apache/commons/math3/fraction/Fraction.java
@@ -175,7 +175,7 @@
         long overflow = Integer.MAX_VALUE;
         double r0 = value;
         long a0 = (long)FastMath.floor(r0);
-        if (FastMath.abs(a0) > overflow) {
+        if (a0 > overflow) {
             throw new FractionConversionException(value, a0, 1l);
         }
 

--- src/main/java/org/apache/commons/math3/fraction/BigFraction.java
+++ src/main/java/org/apache/commons/math3/fraction/BigFraction.java
@@ -282,7 +282,7 @@
         long overflow = Integer.MAX_VALUE;
         double r0 = value;
         long a0 = (long) FastMath.floor(r0);
-        if (a0 > overflow) {
+        if (FastMath.abs(a0) > overflow) {
             throw new FractionConversionException(value, a0, 1l);
         }
"
Modification of return value,MRV[],Major and Pit,modification of return value,Math_5_run1,Math_5,"--- src/main/java/org/apache/commons/math3/complex/Complex.java	(revision)
+++ src/main/java/org/apache/commons/math3/complex/Complex.java	(working copy)
@@ -302,7 +302,7 @@
         }
 
         if (real == 0.0 && imaginary == 0.0) {
-            return NaN;
+            return INF;
         }
 
         if (isInfinite) {
"
no,same edits in comments no changes,,,Math_10_run1,Math_10,"--- src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java	(revision 1)
+++ src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java	(revision 2)
@@ -1333,6 +1333,7 @@
                 // check singularity
                 if ((y == 0) && (x == 0)) {
                     // we are at the singularity
+                    // return NaN for the value, and set derivatives to NaN
                     final double[] result = new double[outputSize];
                     for (int i = 0; i < outputSize; ++i) {
                         result[i] = Double.NaN;
"
"Condition insertion, Modification of return Value","CI[],MRV[]",Major and Pit,condition insertion + return value modification inside the condition ,Math_15_run3,Math_15,"--- src/main/java/org/apache/commons/math3/util/FastMath.java
+++ src/main/java/org/apache/commons/math3/util/FastMath.java
@@ -307,6 +307,10 @@ public class FastMath {
      * @return value of x^y
      */
     public static double pow(double x, double y) {
+        // Handle special case where x is negative and y is a large integer
+        if (x < 0 && y == (long) y) {
+            return Math.pow(x, y);
+        }
         final double lns[] = new double[2];
         if (y == 0.0) {
             return 1.0;
"
Condition insertion,CI[],Major and Pit,Condition insertion,Math_20_run5,Math_20,"--- src/main/java/org/apache/commons/math3/optimization/direct/CMAESOptimizer.java
+++ src/main/java/org/apache/commons/math3/optimization/direct/CMAESOptimizer.java
@@ -337,6 +337,11 @@
         // number of objective variables/problem dimension
         dimension = guess.length;
         initializeCMA(guess);
+        // Handle cases where boundaries are null or have infinite bounds
+        if (boundaries != null) {
+            // Ensure that the initial point is within the bounds
+            // (already checked by checkParameters)
+        }
         iterations = 0;
         double bestValue = fitfun.value(guess);
         push(fitnessHistory, bestValue);
"
no,same edits no changes ,,,Math_25_run1,Math_25,"--- src/main/java/org/apache/commons/math3/optimization/fitting/HarmonicFitter.java
+++ src/main/java/org/apache/commons/math3/optimization/fitting/HarmonicFitter.java
@@ -314,7 +314,7 @@
                 a = 0.5 * (yMax - yMin);
             } else {
                     // In some ill-conditioned cases (cf. MATH-844), the guesser
-                    // procedure cannot produce sensible results.
+                // procedure cannot produce sensible results.
 
                 a = FastMath.sqrt(c1 / c2);
                 omega = FastMath.sqrt(c2 / c3);
"
no ,same edits no changes ,,,Math_30_run1,Math_30,"--- src/main/java/org/apache/commons/math3/stat/inference/MannWhitneyUTest.java
+++ src/main/java/org/apache/commons/math3/stat/inference/MannWhitneyUTest.java
@@ -170,7 +170,7 @@
         final double EU = n1n2prod / 2.0;
         final double VarU = n1n2prod * (n1 + n2 + 1) / 12.0;
 
-        final double z = (Umin - EU) / FastMath.sqrt(VarU);
+        final double z = (Umin - EU) / FastMath.sqrt(VarU);
 
         final NormalDistribution standardNormal = new NormalDistribution(0, 1);
"
no,same edit not changes,,,Math_40_run1,Math_40,"--- src/main/java/org/apache/commons/math/analysis/solvers/BracketingNthOrderBrentSolver.java
+++ src/main/java/org/apache/commons/math/analysis/solvers/BracketingNthOrderBrentSolver.java
@@ -234,7 +234,7 @@
             // update the bracketing interval
             if (nextY * yA <= 0) {
                 // the sign change occurs before the inserted point
-                xB = nextX;
+                xB = nextX;
                 yB = nextY;
                 absYB = FastMath.abs(yB);
                 ++agingA;
"
"Condition insertion, Statement insertion","CI[],SI[]",Major and Pit,conditional insertion plus statement insertion,Math_45_run4,Math_45,"--- src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java
+++ src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java
@@ -59,6 +59,9 @@
     public OpenMapRealMatrix(int rowDimension, int columnDimension) {
         super(rowDimension, columnDimension);
         this.rows = rowDimension;
+        if (columnDimension > Integer.MAX_VALUE / rowDimension) {
+            throw new NumberIsTooLargeException(columnDimension, Integer.MAX_VALUE / rowDimension, false);
+        }
         this.columns = columnDimension;
         this.entries = new OpenIntToDoubleHashMap(0.0);
     }
"
no,multi strucal edits,,,Mockito_1_run1,Mockito_1,"--- src/org/mockito/internal/invocation/InvocationMatcher.java
+++ src/org/mockito/internal/invocation/InvocationMatcher.java
@@ -103,7 +103,14 @@
     public void captureArgumentsFrom(Invocation invocation) {
         if (invocation.getMethod().isVarArgs()) {
             int indexOfVararg = invocation.getRawArguments().length - 1;
-            throw new UnsupportedOperationException();
+            for (int position = 0; position < matchers.size(); position++) {
+                Matcher m = matchers.get(position);
+                if (m instanceof CapturesArguments) {
+                    if (position < invocation.getRawArguments().length) {
+                        ((CapturesArguments) m).captureFrom(invocation.getRawArguments()[position]);
+                    }
+                }
+            }
 
         } else {
             for (int position = 0; position < matchers.size(); position++) {
"
Method call replacement,MCR[],Major and Pit,method call repalcement,Mockito_3_run1,Mockito_3,"--- src/org/mockito/internal/invocation/InvocationMatcher.java	2023-01-01 00:00:00.000000000 +0000
+++ src/org/mockito/internal/invocation/InvocationMatcher.java	2023-01-01 00:00:00.000000000 +0000
@@ -95,8 +95,8 @@
             for (int position = 0; position < indexOfVararg; position++) {
                 Matcher m = matchers.get(position);
                 if (m instanceof CapturesArguments) {
-                    ((CapturesArguments) m).captureFrom(invocation.getArgumentAt(position, Object.class));
+                    ((CapturesArguments) m).captureFrom(invocation.getRawArguments()[position]);
                 }
             }
             for (int position = indexOfVararg; position < matchers.size(); position++) {
                 Matcher m = matchers.get(position);
"
no,same edits no changes ,,,Mockito_5_run3,Mockito_5,"--- src/org/mockito/MockitoAnnotations.java
+++ src/org/mockito/MockitoAnnotations.java
@@ -49,7 +49,7 @@
         AnnotationEngine annotationEngine = new GlobalConfiguration().getAnnotationEngine();
         Class<?> clazz = testClass.getClass();
 
-        //below can be removed later, when we get read rid of deprecated stuff
+        //below can be removed later, when we get rid of deprecated stuff
         if (annotationEngine.getClass() != new DefaultMockitoConfiguration().getAnnotationEngine().getClass()) {
             //this means user has his own annotation engine and we have to respect that.
             //we will do annotation processing the old way so that we are backwards compatible
"
"Condition insertion, Modification of return Value","CI[],MRV[]",Major and Pit,condition insertion with modification of return value,Mockito_11_run1,Mockito_11,"--- src/org/mockito/internal/creation/DelegatingMethod.java
+++ src/org/mockito/internal/creation/DelegatingMethod.java
@@ -28,7 +28,10 @@
      */
     @Override
     public boolean equals(Object o) {
-            return method.equals(o);
+        if (o instanceof DelegatingMethod) {
+            return method.equals(((DelegatingMethod) o).method);
+        }
+        return method.equals(o);
     }
 
     @Override
"
Statement insertion ,SI[] ,Major and Pit,statement insertion,Mockito_13_run3,Mockito_13,"--- src/org/mockito/MockitoAnnotations.java
+++ src/org/mockito/MockitoAnnotations.java
@@ -108,6 +108,7 @@
             //act 'the new' way
             annotationEngine.process(clazz, testClass);
         }
+        annotationEngine.process(clazz, testClass);
     }
 
     @SuppressWarnings(""deprecation"")
"
no,same edits no changes ,,,Time_1_run2,Time_1,"--- src/main/java/org/joda/time/Partial.java
+++ src/main/java/org/joda/time/Partial.java
@@ -255,7 +255,7 @@
             lastUnitField = loopUnitField;
         }
         
-        iTypes = (DateTimeFieldType[]) types.clone();
+        iTypes = (DateTimeFieldType[]) types.clone();
         chronology.validate(this, values);
         iValues = (int[]) values.clone();
     }
"
"Condition insertion, Modification of return Value","CI[],MRV[]",Major and Pit,conditional insertion plus adding the modification of return value,Time_3_run3,Time_3,"--- src/main/java/org/joda/time/MutableDateTime.java
+++ src/main/java/org/joda/time/MutableDateTime.java
@@ -942,6 +942,10 @@ public class MutableDateTime
     public void add(DurationFieldType type, int amount) {
         if (type == null) {
             throw new IllegalArgumentException(""Field must not be null"");
+        }
+        if (amount == 0) {
+            // Adding zero should not change the time zone offset
+            return;
         }
         setMillis(type.getField(getChronology()).add(getMillis(), amount));
     }
"
no,same edits comments changes ,,,Time_7_run5,Time_7,"--- src/main/java/org/joda/time/format/DateTimeFormatter.java
+++ src/main/java/org/joda/time/format/DateTimeFormatter.java
@@ -709,6 +709,7 @@
         }
         // parse
         if (iDefaultYear == 2000) {
+            // Use a leap year if the parsed month/day could be Feb 29
             DateTime dt = new DateTime(2000, 1, 1, 0, 0, 0, 0, chrono);
             int[] parsed = parser.parseInto(dt, text, 0);
             if (parsed[0] < 0) {
"
Method call replacement,MCR[],Major and Pit,method call replacement,Time_9_run2,Time_9,"--- src/main/java/org/joda/time/DateTimeZone.java	(revision)
+++ src/main/java/org/joda/time/DateTimeZone.java	(working copy)
@@ -229,7 +229,7 @@
             int hoursInMinutes = FieldUtils.safeMultiply(hoursOffset, 60);
             if (hoursInMinutes < 0) {
-                minutesOffset = FieldUtils.safeAdd(hoursInMinutes, -minutesOffset);
+                minutesOffset = FieldUtils.safeAdd(hoursInMinutes, minutesOffset);
             } else {
                 minutesOffset = FieldUtils.safeAdd(hoursInMinutes, minutesOffset);
             }
"
"Condition insertion,  Retional operator replacement","CI[], ROR[]",Major and Pit,condition insertion with rational operator replacement,Time_11_run1,Time_11,"--- src/main/java/org/joda/time/DateTimeZone.java
+++ src/main/java/org/joda/time/DateTimeZone.java
@@ -136,7 +136,7 @@
                     try {
                         try {
                             String id = System.getProperty(""user.timezone"");
-                            if (id != null) {  // null check avoids stack overflow
+                            if (id != null && id.length() > 0) {
                                 temp = forID(id);
                             }
                         } catch (RuntimeException ex) {
"
"Condition insertion, Statement insertion","CI[], SI[]",Major and Pit,condition insertion with statement insertion,Time_15_run1,Time_15,"--- src/main/java/org/joda/time/field/FieldUtils.java
+++ src/main/java/org/joda/time/field/FieldUtils.java
@@ -160,6 +160,9 @@ public class FieldUtils {
      * @since 1.2
      */
     public static long safeMultiply(long val1, int val2) {
+        if (val1 == Long.MIN_VALUE && val2 == -1) {
+            throw new ArithmeticException(""Multiplication overflows a long: "" + val1 + "" * "" + val2);
+        }
         switch (val2) {
             case -1:
                 return -val1;
"
